Path,Category,FieldID,Field,Field_zh,Notes_zh,Participants,Items,Stability,ValueType,Units,ItemType,Strata,Sexed,Instances,Array,Coding,Notes,Link,Data
Online follow-up > Experience of pain,154.0,120040,Fatigue severity over the past week,过去一周的疲劳严重程度,问题：指出过去一周疲劳的严重程度。,167108.0,167108.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,3003.0,Question asked: Indicate the level of severity over the past week of fatigue,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120040,"167,108 items of data are available, covering 167,108 participants, encoded using Data-Coding 3003."
Online follow-up > Experience of pain,154.0,120041,Waking unrefreshed severity over the past week,过去一周醒来未恢复的严重程度,问题：指出过去一周醒来未恢复的严重程度。,167108.0,167108.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,3003.0,Question asked: Indicate the level of severity over the past week of waking unrefreshed,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120041,"167,108 items of data are available, covering 167,108 participants, encoded using Data-Coding 3003."
Online follow-up > Experience of pain,154.0,120042,Cognitive symptoms severity over the past week,过去一周认知症状的严重程度,问题：指出过去一周认知症状的严重程度。例如，记忆、思维技能和/或注意力方面的问题。,167108.0,167108.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,3003.0,"Question asked: Indicate the level of severity over the past week of cognitive symptoms. For example, problems with memory, thinking skills and/or concentration.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120042,"167,108 items of data are available, covering 167,108 participants, encoded using Data-Coding 3003."
Online follow-up > Experience of pain,154.0,120043,Pain or cramps in lower abdomen in past six months,过去六个月的下腹部疼痛或痉挛,问题：过去六个月您是否有下腹部疼痛或痉挛？,167108.0,167108.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,1021.0,Question asked: During the past 6 months have you had pain or cramps in lower abdomen?,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120043,"167,108 items of data are available, covering 167,108 participants, encoded using Data-Coding 1021."
Online follow-up > Experience of pain,154.0,120044,Depression in past six months,过去六个月的抑郁,问题：过去六个月您是否有抑郁？,167108.0,167108.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,1021.0,Question asked: During the past 6 months have you had depression?,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120044,"167,108 items of data are available, covering 167,108 participants, encoded using Data-Coding 1021."
Online follow-up > Experience of pain,154.0,120045,Headache in past six months,过去六个月的头痛,问题：过去六个月您是否有头痛？,167108.0,167108.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,1021.0,Question asked: During the past 6 months have you had headaches?,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120045,"167,108 items of data are available, covering 167,108 participants, encoded using Data-Coding 1021."
Online follow-up > Experience of pain,154.0,120046,Burning pain present in pain that bothers the most,最困扰的疼痛中是否有灼烧感,问题：回想最困扰您的疼痛，是否有灼烧感特征？仅在字段120023、120024、120025、120026、120027、120028、120029、120030、120031、120033、120034或120035中至少一个回答'是'时询问。涉及字段120023、120024、120025、120026、120027、120028、120029、120030、120031、120033、120034、120035中的单一疼痛或最困扰部位（字段120037）。,84005.0,84005.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,502.0,"Question asked: Thinking about the pain that bothers you most, does the pain have the characteristics of burning? Only asked if one or more of Field 120023 , Field 120024 , Field 120025 , Field 120026 , Field 120027 , Field 120028 , Field 120029 , Field 120030 , Field 120031 , Field 120033 , Field 120034 , Field 120035 was answered yes. Refers to single pain from Field 120023 , Field 120024 , Field 120025 , Field 120026 , Field 120027 , Field 120028 , Field 120029 , Field 120030 , Field 120031 , Field 120033 , Field 120034 , Field 120035 or the area that bothers most ( Field 120037 )",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120046,"84,005 items of data are available, covering 84,005 participants, encoded using Data-Coding 502."
Online follow-up > Experience of pain,154.0,120047,Painful cold present in pain that bothers the most,最困扰的疼痛中是否有痛性寒冷感,问题：回想最困扰您的疼痛，是否有痛性寒冷感特征？仅在字段120023、120024、120025、120026、120027、120028、120029、120030、120031、120033、120034或120035中至少一个回答'是'时询问。涉及字段120023、120024、120025、120026、120027、120028、120029、120030、120031、120033、120034、120035中的单一疼痛或最困扰部位（字段120037）。,84005.0,84005.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,502.0,"Question asked: Thinking about the pain that bothers you most, does the pain have the characteristics of painful cold? Only asked if one or more of Field 120023 , Field 120024 , Field 120025 , Field 120026 , Field 120027 , Field 120028 , Field 120029 , Field 120030 , Field 120031 , Field 120033 , Field 120034 , Field 120035 was answered yes. Refers to single pain from Field 120023 , Field 120024 , Field 120025 , Field 120026 , Field 120027 , Field 120028 , Field 120029 , Field 120030 , Field 120031 , Field 120033 , Field 120034 , Field 120035 or the area that bothers most ( Field 120037 )",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120047,"84,005 items of data are available, covering 84,005 participants, encoded using Data-Coding 502."
Online follow-up > Experience of pain,154.0,120048,Electric shocks present in pain that bothers the most,最困扰的疼痛中是否有电击感,问题：回想最困扰您的疼痛，是否有电击感特征？仅在字段120023、120024、120025、120026、120027、120028、120029、120030、120031、120033、120034或120035中至少一个回答'是'时询问。涉及字段120023、120024、120025、120026、120027、120028、120029、120030、120031、120033、120034、120035中的单一疼痛或最困扰部位（字段120037）。,84005.0,84005.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,502.0,"Question asked: Thinking about the pain that bothers you most, does the pain have the characteristics of electric shocks? Only asked if one or more of Field 120023 , Field 120024 , Field 120025 , Field 120026 , Field 120027 , Field 120028 , Field 120029 , Field 120030 , Field 120031 , Field 120033 , Field 120034 , Field 120035 was answered yes. Refers to single pain from Field 120023 , Field 120024 , Field 120025 , Field 120026 , Field 120027 , Field 120028 , Field 120029 , Field 120030 , Field 120031 , Field 120033 , Field 120034 , Field 120035 or the area that bothers most ( Field 120037 )",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120048,"84,005 items of data are available, covering 84,005 participants, encoded using Data-Coding 502."
Online follow-up > Experience of pain,154.0,120049,Tingling present in pain that bothers the most,最困扰的疼痛中是否有刺痛感,问题：回想最困扰您的疼痛，是否伴随刺痛感？仅在字段120023、120024、120025、120026、120027、120028、120029、120030、120031、120033、120034或120035中至少一个回答'是'时询问。涉及字段120023、120024、120025、120026、120027、120028、120029、120030、120031、120033、120034、120035中的单一疼痛或最困扰部位（字段120037）。,84005.0,84005.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,502.0,"Question asked: Thinking about the pain that bothers you most, is the pain associated with tingling? Only asked if one or more of Field 120023 , Field 120024 , Field 120025 , Field 120026 , Field 120027 , Field 120028 , Field 120029 , Field 120030 , Field 120031 , Field 120033 , Field 120034 , Field 120035 was answered yes. Refers to single pain from Field 120023 , Field 120024 , Field 120025 , Field 120026 , Field 120027 , Field 120028 , Field 120029 , Field 120030 , Field 120031 , Field 120033 , Field 120034 , Field 120035 or the area that bothers most ( Field 120037 )",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120049,"84,005 items of data are available, covering 84,005 participants, encoded using Data-Coding 502."
Online follow-up > Experience of pain,154.0,120050,Pins and needles present in pain that bothers the most,最困扰的疼痛中是否存在针刺感,问题内容：考虑最困扰您的疼痛，该疼痛是否伴随针刺感？仅在以下任一字段（120023、120024、120025、120026、120027、120028、120029、120030、120031、120033、120034、120035）回答为是时提问。指代来自上述字段的单一疼痛区域或最困扰区域（字段120037）。,84005.0,84005.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,502.0,"Question asked: Thinking about the pain that bothers you most, is the pain associated with pins and needles? Only asked if one or more of Field 120023 , Field 120024 , Field 120025 , Field 120026 , Field 120027 , Field 120028 , Field 120029 , Field 120030 , Field 120031 , Field 120033 , Field 120034 , Field 120035 was answered yes. Refers to single pain from Field 120023 , Field 120024 , Field 120025 , Field 120026 , Field 120027 , Field 120028 , Field 120029 , Field 120030 , Field 120031 , Field 120033 , Field 120034 , Field 120035 or the area that bothers most ( Field 120037 )",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120050,"84,005 items of data are available, covering 84,005 participants, encoded using Data-Coding 502."
Online follow-up > Experience of pain,154.0,120051,Numbness present in pain that bothers the most,最困扰的疼痛中是否存在麻木感,问题内容：考虑最困扰您的疼痛，该疼痛是否伴随麻木感？提问条件同字段120050。指代来源同上。,84005.0,84005.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,502.0,"Question asked: Thinking about the pain that bothers you most, is the pain associated with numbness? Only asked if one or more of Field 120023 , Field 120024 , Field 120025 , Field 120026 , Field 120027 , Field 120028 , Field 120029 , Field 120030 , Field 120031 , Field 120033 , Field 120034 , Field 120035 was answered yes. Refers to single pain from Field 120023 , Field 120024 , Field 120025 , Field 120026 , Field 120027 , Field 120028 , Field 120029 , Field 120030 , Field 120031 , Field 120033 , Field 120034 , Field 120035 or the area that bothers most ( Field 120037 )",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120051,"84,005 items of data are available, covering 84,005 participants, encoded using Data-Coding 502."
Online follow-up > Experience of pain,154.0,120052,Itching present in pain that bothers the most,最困扰的疼痛中是否存在瘙痒感,问题内容：考虑最困扰您的疼痛，该疼痛是否伴随瘙痒感？提问条件同字段120050。指代来源同上。,84005.0,84005.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,502.0,"Question asked: Thinking about the pain that bothers you most, is the pain associated with itching? Only asked if one or more of Field 120023 , Field 120024 , Field 120025 , Field 120026 , Field 120027 , Field 120028 , Field 120029 , Field 120030 , Field 120031 , Field 120033 , Field 120034 , Field 120035 was answered yes. Refers to single pain from Field 120023 , Field 120024 , Field 120025 , Field 120026 , Field 120027 , Field 120028 , Field 120029 , Field 120030 , Field 120031 , Field 120033 , Field 120034 , Field 120035 or the area that bothers most ( Field 120037 )",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120052,"84,005 items of data are available, covering 84,005 participants, encoded using Data-Coding 502."
Online follow-up > Experience of pain,154.0,120053,Bad and/or recurring headaches at any time in life,一生中是否曾有过严重和/或反复头痛,问题内容：您一生中是否曾经历过严重和/或反复发作的头痛？,167108.0,167108.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,1021.0,Question asked: Have you ever had bad and/or recurring headaches at any time in your life?,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120053,"167,108 items of data are available, covering 167,108 participants, encoded using Data-Coding 1021."
Online follow-up > Experience of pain,154.0,120054,Number of days with headache in past three months,过去三个月头痛天数,"问题内容：过去3个月内您有多少天出现过任何程度的头痛？（持续超过1天的头痛需按天计算）。仅在字段120053回答为是时提问。特殊编码值：-818表示""拒绝回答""。",55944.0,55944.0,Accruing,Integer,,Data,Primary,Both sexes,Singular,No,584.0,"Question asked: On how many days in the past 3 months did you have a headache of any severity? If a headache lasted more than 1 day, count each day. Only asked if Field 120053 was answered yes Coding 584 defines 1 special value: -818 represents ""Prefer not to answer""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120054,"55,944 items of data are available, covering 55,944 participants.Some values have special meanings defined by Data-Coding 584."
Online follow-up > Experience of pain,154.0,120055,When worst headaches began,最严重头痛开始时间（月数）,问题内容：回想头痛最严重的时期，大约多少个月前开始？仅在字段120053回答为是时提问。特殊编码值：-818（拒绝回答），-98（0个月前），-97（0年前）。,55944.0,55944.0,Accruing,Integer,,Data,Primary,Both sexes,Singular,No,3018.0,"Question asked: Think about the time when those headaches were at their worst. About how long ago, in months, did those headaches begin? Only asked if Field 120053 was answered yes Coding 3018 defines 3 special values: -818 represents ""Prefer not to answer"" -98 represents ""0 months ago"" -97 represents ""0 years ago""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120055,"55,944 items of data are available, covering 55,944 participants.Some values have special meanings defined by Data-Coding 3018."
Online follow-up > Experience of pain,154.0,120056,When worst headaches ended,最严重头痛结束时间（月数）,问题内容：大约多少个月前这些头痛结束？需满足字段120053为是且字段120054为零时提问。特殊编码值同字段120055。,19747.0,19747.0,Accruing,Integer,,Data,Primary,Both sexes,Singular,No,3018.0,"Question asked: About how long ago, in months, did those headaches end? Only asked if Field 120053 was answered yes and Field 120054 was answered zero Coding 3018 defines 3 special values: -818 represents ""Prefer not to answer"" -98 represents ""0 months ago"" -97 represents ""0 years ago""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120056,"19,747 items of data are available, covering 19,747 participants.Some values have special meanings defined by Data-Coding 3018."
Online follow-up > Experience of pain,154.0,120057,Days per month having headaches when they were at their worst,头痛最严重时期每月发作天数,"问题内容：头痛最严重时期，大约每月有多少天会出现头痛？仅在字段120053回答为是时提问。特殊编码值：-818表示""拒绝回答""。",55944.0,55944.0,Accruing,Integer,,Data,Primary,Both sexes,Singular,No,584.0,"Question asked: When your headaches were at their worst, about how many days a month did you have a headache? Only asked if Field 120053 was answered yes Coding 584 defines 1 special value: -818 represents ""Prefer not to answer""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120057,"55,944 items of data are available, covering 55,944 participants.Some values have special meanings defined by Data-Coding 584."
Online follow-up > Experience of pain,154.0,120058,Pain worst on just one side when headaches were at their worst,头痛最严重时是否单侧疼痛更甚,问题内容：头痛最严重时，疼痛是否主要表现为单侧更剧烈？仅在字段120053回答为是时提问。,55944.0,55944.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,3002.0,"Question asked: When your headaches were at their worst, did you experience the pain as worse on just one side? Only asked if Field 120053 was answered yes",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120058,"55,944 items of data are available, covering 55,944 participants, encoded using Data-Coding 3002."
Online follow-up > Experience of pain,154.0,120059,"Pain pounding, pulsating or throbbing when headaches were at their worst",头痛最严重时是否为搏动性疼痛,问题内容：头痛最严重时，疼痛是否呈现为搏动性、脉动性或跳动性？提问条件同字段120058。,55944.0,55944.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,3002.0,"Question asked: When your headaches were at their worst, did you experience the pain as pounding, pulsating or throbbing? Only asked if Field 120053 was answered yes",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120059,"55,944 items of data are available, covering 55,944 participants, encoded using Data-Coding 3002."
Online follow-up > Experience of pain,154.0,120060,Pain moderate or severe when headaches were at their worst,头痛最严重时疼痛程度是否为中重度,问题内容：头痛最严重时，疼痛是否达到中重度？提问条件同字段120058。,55944.0,55944.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,3002.0,"Question asked: When your headaches were at their worst, did you experience the pain as moderate or severe? Only asked if Field 120053 was answered yes",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120060,"55,944 items of data are available, covering 55,944 participants, encoded using Data-Coding 3002."
Online follow-up > Experience of pain,154.0,120061,Pain made worse by routine activities when headaches were at their worst,头痛最严重时日常活动是否加剧疼痛,问题内容：头痛最严重时，日常活动（如行走或爬楼梯）是否会加重疼痛？提问条件同字段120058。,55944.0,55944.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,3002.0,"Question asked: When your headaches were at their worst, did you experience the pain as made worse by routine activities such as walking or climbing stairs? Only asked if Field 120053 was answered yes",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120061,"55,944 items of data are available, covering 55,944 participants, encoded using Data-Coding 3002."
Online follow-up > Experience of pain,154.0,120062,Felt sick or being sick when headaches were at their worst,头痛最严重时是否伴随恶心或呕吐,问题内容：头痛最严重时，是否出现恶心或呕吐症状？提问条件同字段120058。,55944.0,55944.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,3002.0,"Question asked: When your headaches were at their worst, did you experience you felt, or were sick? Only asked if Field 120053 was answered yes",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120062,"55,944 items of data are available, covering 55,944 participants, encoded using Data-Coding 3002."
Online follow-up > Experience of pain,154.0,120063,Bothered by light when headaches were at their worst,头痛最严重时是否畏光,问题内容：头痛最严重时，光线是否比平时更让您不适？提问条件同字段120058。,55944.0,55944.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,3002.0,"Question asked: When your headaches were at their worst, did you experience light bothered you (more than when you did not have headaches)? Only asked if Field 120053 was answered yes",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120063,"55,944 items of data are available, covering 55,944 participants, encoded using Data-Coding 3002."
Online follow-up > Experience of pain,154.0,120064,Bothered by sound when headaches were at their worst,头痛最严重时是否畏声,问题内容：头痛最严重时，声音是否比平时更让您不适？提问条件同字段120058。,55944.0,55944.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,3002.0,"Question asked: When your headaches were at their worst, did you experience sound bothered you (more than when you did not have headaches)? Only asked if Field 120053 was answered yes",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120064,"55,944 items of data are available, covering 55,944 participants, encoded using Data-Coding 3002."
Online follow-up > Experience of pain,154.0,120065,Visual changes before or near the onset of headaches,头痛发作前/初期是否出现视觉变化,问题内容：头痛发作前/初期是否出现以下预警症状：视觉变化（如斑点、线条、热浪或视野灰暗）？仅在字段120053回答为是时提问。,55944.0,55944.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,1021.0,"Question asked: Do you or did you develop any of the following warning symptoms before or near the onset of your headache? I develop visual changes such as spots, lines and heat waves or greying out of my vision. Only asked if Field 120053 was answered yes",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120065,"55,944 items of data are available, covering 55,944 participants, encoded using Data-Coding 1021."
Online follow-up > Experience of pain,154.0,120066,Visual changes develop slowly before or near the onset of headaches,视觉变化是否缓慢发展,问题内容：视觉变化是否在数分钟或更长时间内缓慢发展？仅在字段120065回答为是时提问。,21301.0,21301.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,1021.0,Question asked: Do you or did you develop any of the following warning symptoms before or near the onset of your headache? My visual changes develop slowly over several minutes or more. Only asked if Field 120065 was answered yes,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120066,"21,301 items of data are available, covering 21,301 participants, encoded using Data-Coding 1021."
Online follow-up > Experience of pain,154.0,120067,"Tingling or numbness in face, arms or legs before or near the onset of headaches",头痛发作前/初期是否出现面部/肢体刺痛或麻木,问题内容：头痛发作前/初期是否出现面部、手臂或腿部刺痛/麻木？仅在字段120053回答为是时提问。,55944.0,55944.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,1021.0,"Question asked: Do you or did you develop any of the following warning symptoms before or near the onset of your headache? I develop tingling or numbness in my face, arms or legs. Only asked if Field 120053 was answered yes",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120067,"55,944 items of data are available, covering 55,944 participants, encoded using Data-Coding 1021."
Online follow-up > Experience of pain,154.0,120068,Tingling and/or numbness spreads slowly before or near the onset of headaches,刺痛/麻木是否缓慢扩散,问题内容：刺痛/麻木是否在数分钟内缓慢扩散至身体某部位？仅在字段120067回答为是时提问。,5840.0,5840.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,1021.0,"Question asked: Do you or did you develop any of the following warning symptoms before or near the onset of your headache? The tingling and/or, numbness spreads slowly over several minutes over some part of my body. Only asked if Field 120067 was answered yes",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120068,"5,840 items of data are available, covering 5,840 participants, encoded using Data-Coding 1021."
Online follow-up > Experience of pain,154.0,120069,"Develop tiredness, yawning, concentration problems, changes in mood or appetite, irritability, neck stiffness, light or sound sensitivity before or near the onset of headaches",头痛发作前/初期是否出现疲劳/打哈欠/注意力问题/情绪食欲变化/易怒/颈强直/畏光畏声,问题内容：头痛发作前/初期是否出现以下预警症状：疲劳、打哈欠、注意力问题、情绪/食欲变化、易怒、颈部僵硬、畏光或畏声？仅在字段120053回答为是时提问。,55944.0,55944.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,1021.0,"Question asked: Do you or did you develop any of the following warning symptoms before or near the onset of your headache? I develop tiredness, yawning, concentration problems, changes in mood or appetite, irritability, neck stiffness, light or sound sensitivity. Only asked if Field 120053 was answered yes",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120069,"55,944 items of data are available, covering 55,944 participants, encoded using Data-Coding 1021."
Online follow-up > Experience of pain,154.0,120070,"Number of days in the last 3 months headaches interfered with ability to work, study or enjoy life",过去3个月内头痛干扰工作、学习或享受生活的天数,问题内容：在过去3个月中，有多少天您的头痛干扰了您工作、学习或享受生活的能力？仅在字段120053回答为“是”且字段120054大于零时提问。编码584定义了一个特殊值：-818表示“不愿回答”,36197.0,36197.0,Accruing,Integer,,Data,Primary,Both sexes,Singular,No,584.0,"Question asked: On how many days in the last 3 months did your headaches interfere with your ability to work, study or enjoy life? Only asked if Field 120053 was answered yes and Field 120054 was greater than zero Coding 584 defines 1 special value: -818 represents ""Prefer not to answer""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120070,"36,197 items of data are available, covering 36,197 participants.Some values have special meanings defined by Data-Coding 584."
Online follow-up > Experience of pain,154.0,120071,Legs and/or feet are usually numb,腿和/或脚通常麻木,问题内容：我们现在想询问您腿部和脚部的感觉。根据您通常的感受选择“是”或“否”。您的腿和/或脚麻木吗？仅在字段120001、120007或120008中至少有一个回答为“是”时提问,29358.0,29358.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,502.0,"Question asked: We would now like to ask about the feeling in your legs and feet. Select yes or no based on how you usually feel. Are your legs and/or feet numb? Only asked if one or more of Field 120001 , Field 120007 , Field 120008 was answered yes.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120071,"29,358 items of data are available, covering 29,358 participants, encoded using Data-Coding 502."
Online follow-up > Experience of pain,154.0,120072,Usually have burning pain in legs and/or feet,腿和/或脚通常有灼烧痛,问题内容：我们现在想询问您腿部和脚部的感觉。根据您通常的感受选择“是”或“否”。您的腿和/或脚是否有灼烧痛？仅在字段120001、120007或120008中至少有一个回答为“是”时提问,29358.0,29358.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,502.0,"Question asked: We would now like to ask about the feeling in your legs and feet. Select yes or no based on how you usually feel. Do you ever have any burning pain in your legs and/or feet? Only asked if one or more of Field 120001 , Field 120007 , Field 120008 was answered yes.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120072,"29,358 items of data are available, covering 29,358 participants, encoded using Data-Coding 502."
Online follow-up > Experience of pain,154.0,120073,Feet usually too sensitive to touch,脚通常对触摸过于敏感,问题内容：我们现在想询问您腿部和脚部的感觉。根据您通常的感受选择“是”或“否”。您的脚对触摸是否过于敏感？仅在字段120001、120007或120008中至少有一个回答为“是”时提问,29358.0,29358.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,502.0,"Question asked: We would now like to ask about the feeling in your legs and feet. Select yes or no based on how you usually feel. Are your feet too sensitive to touch? Only asked if one or more of Field 120001 , Field 120007 , Field 120008 was answered yes.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120073,"29,358 items of data are available, covering 29,358 participants, encoded using Data-Coding 502."
Online follow-up > Experience of pain,154.0,120074,Usually get muscle cramps in legs and/or feet,腿和/或脚通常有肌肉痉挛,问题内容：我们现在想询问您腿部和脚部的感觉。根据您通常的感受选择“是”或“否”。您的腿和/或脚是否有肌肉痉挛？仅在字段120001、120007或120008中至少有一个回答为“是”时提问,29358.0,29358.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,502.0,"Question asked: We would now like to ask about the feeling in your legs and feet. Select yes or no based on how you usually feel. Do you get muscle cramps in your legs and/or feet? Only asked if one or more of Field 120001 , Field 120007 , Field 120008 was answered yes.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120074,"29,358 items of data are available, covering 29,358 participants, encoded using Data-Coding 502."
Online follow-up > Experience of pain,154.0,120075,Usually have prickling feelings in legs or feet,腿或脚通常有刺痛感,问题内容：我们现在想询问您腿部和脚部的感觉。根据您通常的感受选择“是”或“否”。您的腿或脚是否有刺痛感？仅在字段120001、120007或120008中至少有一个回答为“是”时提问,29358.0,29358.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,502.0,"Question asked: We would now like to ask about the feeling in your legs and feet. Select yes or no based on how you usually feel. Do you ever have any prickling feelings in your legs or feet? Only asked if one or more of Field 120001 , Field 120007 , Field 120008 was answered yes.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120075,"29,358 items of data are available, covering 29,358 participants, encoded using Data-Coding 502."
Online follow-up > Experience of pain,154.0,120076,Legs and feet usually hurt when the bed covers touch skin,床单接触皮肤时腿和脚通常会痛,问题内容：我们现在想询问您腿部和脚部的感觉。根据您通常的感受选择“是”或“否”。床单接触您的皮肤时会痛吗？仅在字段120001、120007或120008中至少有一个回答为“是”时提问,29358.0,29358.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,502.0,"Question asked: We would now like to ask about the feeling in your legs and feet. Select yes or no based on how you usually feel. Does it hurt when the bed covers touch your skin? Only asked if one or more of Field 120001 , Field 120007 , Field 120008 was answered yes.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120076,"29,358 items of data are available, covering 29,358 participants, encoded using Data-Coding 502."
Online follow-up > Experience of pain,154.0,120077,Usually able to tell the hot water from the cold water,通常能区分热水和冷水,问题内容：我们现在想询问您腿部和脚部的感觉。根据您通常的感受选择“是”或“否”。当您进入浴缸或淋浴时，您能区分热水和冷水吗？仅在字段120001、120007或120008中至少有一个回答为“是”时提问,29358.0,29358.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,502.0,"Question asked: We would now like to ask about the feeling in your legs and feet. Select yes or no based on how you usually feel. When you get into the bath or shower, are you able to tell the hot water from the cold water? Only asked if one or more of Field 120001 , Field 120007 , Field 120008 was answered yes.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120077,"29,358 items of data are available, covering 29,358 participants, encoded using Data-Coding 502."
Online follow-up > Experience of pain,154.0,120078,Ever had an open sore on foot,脚上曾有过开放性溃疡,问题内容：我们现在想询问您腿部和脚部的感觉。根据您通常的感受选择“是”或“否”。您的脚上曾有过开放性溃疡吗？仅在字段120001、120007或120008中至少有一个回答为“是”时提问,29358.0,29358.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,502.0,"Question asked: We would now like to ask about the feeling in your legs and feet. Select yes or no based on how you usually feel. Have you ever had an open sore on your foot? Only asked if one or more of Field 120001 , Field 120007 , Field 120008 was answered yes.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120078,"29,358 items of data are available, covering 29,358 participants, encoded using Data-Coding 502."
Online follow-up > Experience of pain,154.0,120079,Ever had diabetic neuropathy,曾患糖尿病神经病变,问题内容：我们现在想询问您腿部和脚部的感觉。根据您通常的感受选择“是”或“否”。医生是否曾告诉您患有糖尿病神经病变？仅在字段120001、120007或120008中至少有一个回答为“是”时提问,29358.0,29358.0,Accruing,Categorical single,,Data,Primary,Both sexes,Singular,No,502.0,"Question asked: We would now like to ask about the feeling in your legs and feet. Select yes or no based on how you usually feel. Has the doctor ever told you that you that you have diabetic neuropathy? Only asked if one or more of Field 120001 , Field 120007 , Field 120008 was answered yes.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120079,"29,358 items of data are available, covering 29,358 participants, encoded using Data-Coding 502."
